Epoch,Training Loss,Validation Loss,Validation Accuracy
1,0.6845,0.6957,51.72
2,0.6592,0.6898,53.16
3,0.6350,0.7234,51.15
4,0.6134,0.7914,55.46
5,0.6072,0.7331,58.05
6,0.5858,0.7948,55.46
7,0.5747,0.7332,60.34
8,0.5568,0.7214,61.21
9,0.5348,0.7652,60.34
10,0.5056,0.7257,63.79
11,0.5077,0.7076,60.92
12,0.4881,0.7560,57.47
13,0.4858,0.7252,60.92
14,0.4559,0.7526,59.48
15,0.4445,0.7885,58.33
16,0.4367,0.7692,62.07
17,0.4212,0.7866,58.05
18,0.4130,0.7897,59.20
19,0.4173,0.7883,59.48
20,0.4001,0.7979,56.32
21,0.3964,0.8049,56.90
22,0.3686,0.7966,61.49
23,0.3526,0.8725,58.05
24,0.3655,0.8447,59.20
25,0.3549,0.8099,59.77
26,0.3240,0.8855,55.46
27,0.3319,0.8542,60.92
28,0.2992,0.8650,59.77
29,0.3124,0.8370,59.77
30,0.2890,0.9132,58.62
31,0.2853,0.8893,60.34
32,0.2957,0.8967,59.48
33,0.2751,0.9220,60.92
34,0.2796,0.9133,60.92
35,0.2705,0.9437,59.77
36,0.2717,0.9130,62.64
37,0.2691,0.9546,60.34
38,0.2598,0.9236,60.34
39,0.2502,0.9158,61.49
40,0.2424,0.9603,58.91
41,0.2085,0.9527,61.21
42,0.2394,0.9880,61.49
43,0.2316,0.9847,59.48
44,0.2279,0.9795,60.34
45,0.2266,0.9915,58.91
46,0.2292,0.9907,59.20
47,0.2311,0.9997,60.63
48,0.2378,1.0521,58.33
49,0.2351,1.0497,58.05
50,0.2242,1.0250,58.62
51,0.2163,1.1009,57.47
52,0.2104,1.0671,59.48
53,0.2049,1.0748,59.20
54,0.1913,1.0861,57.18
55,0.1839,1.1128,59.77
56,0.1852,1.0652,58.05
57,0.1888,1.0837,60.06
58,0.1804,1.1140,58.62
59,0.1880,1.0948,58.33
60,0.1994,1.1008,57.76
61,0.2046,1.0850,59.77
62,0.1878,1.0831,59.48
63,0.1813,1.0779,62.93
64,0.1886,1.1353,60.06
65,0.1810,1.1355,61.49
66,0.2059,1.0969,60.63
67,0.1678,1.1224,60.63
68,0.1716,1.1367,59.48
69,0.1842,1.1155,60.34
70,0.1771,1.2228,56.32
71,0.1738,1.1922,58.91
72,0.1821,1.1268,59.48
73,0.1673,1.1416,60.06
74,0.1727,1.1344,59.48
75,0.1544,1.1876,59.48
76,0.1581,1.2098,57.18
77,0.1597,1.1771,58.62
78,0.1700,1.1754,63.22
79,0.1673,1.1347,59.77
80,0.1452,1.2119,58.91
81,0.1497,1.2747,57.18
82,0.1471,1.2597,59.48
83,0.1589,1.3110,58.05
84,0.1780,1.2602,60.63
85,0.1716,1.2779,60.63
86,0.1518,1.2779,58.91
87,0.1557,1.2515,58.62
88,0.1487,1.2580,62.07
89,0.1522,1.2388,59.48
90,0.1249,1.2101,58.62
91,0.1581,1.2636,59.48
92,0.1557,1.2554,58.91
93,0.1365,1.2481,61.21
94,0.1550,1.3136,56.03
95,0.1535,1.2204,60.06
96,0.1457,1.2675,59.77
97,0.1366,1.3154,57.76
98,0.1524,1.2948,59.77
99,0.1574,1.2260,59.20
100,0.1408,1.2611,60.34
