Epoch,Training Loss,Validation Loss,Validation Accuracy
1,0.6929,0.6861,60.06
2,0.6866,0.6856,51.72
3,0.6818,0.6825,55.17
4,0.6817,0.7115,50.86
5,0.6769,0.6939,50.86
6,0.6683,0.7231,52.30
7,0.6532,0.6789,53.16
8,0.6430,0.6993,60.63
9,0.6433,0.7522,58.05
10,0.6205,0.7192,59.77
11,0.6029,0.7537,49.71
12,0.5927,0.7346,52.30
13,0.5552,0.9379,51.72
14,0.5331,0.8694,56.61
15,0.5133,0.7973,58.05
16,0.4787,0.8279,54.31
17,0.4237,1.0467,53.16
18,0.4047,0.9871,52.87
19,0.3711,1.0978,56.03
20,0.3495,1.3573,53.45
21,0.3355,1.3172,54.31
22,0.2802,1.3331,56.32
23,0.2492,1.2777,56.61
24,0.2327,1.5607,58.62
25,0.2106,1.4431,54.89
26,0.1956,1.6627,50.57
27,0.1718,2.0940,54.89
28,0.1574,1.4200,57.47
29,0.1468,2.0124,58.62
30,0.1419,1.6563,51.72
31,0.0743,2.1592,53.45
32,0.1203,2.0786,54.02
33,0.1114,1.9033,57.47
34,0.0807,2.0772,52.01
35,0.0762,1.8370,58.05
36,0.0782,2.7251,53.16
37,0.0742,2.2348,56.03
38,0.0541,2.1846,56.32
39,0.0257,2.8585,56.32
40,0.0749,2.4623,58.91
41,0.0513,2.2144,55.75
42,0.0196,3.4797,55.17
43,0.0177,3.6359,52.30
44,0.0513,2.7924,56.90
45,0.0379,2.4519,57.76
46,0.0811,2.5266,54.89
47,0.0332,2.4936,52.87
48,0.0219,2.5527,54.31
49,0.0205,2.9072,55.17
50,0.0453,2.6413,54.60
51,0.0610,2.6076,56.03
52,0.0118,3.1134,56.32
53,0.0390,3.4048,52.87
54,0.0454,2.5504,54.60
55,0.0251,2.6941,54.89
56,0.0459,2.6770,54.60
57,0.0104,2.9559,52.59
58,0.0056,3.3477,55.17
59,0.0026,3.8920,53.74
60,0.0056,3.8075,53.45
61,0.0195,4.1776,55.46
62,0.0457,3.1161,54.89
63,0.0242,2.9612,55.46
64,0.0083,3.2104,59.20
65,0.0254,3.0004,54.02
66,0.0187,2.9813,56.03
67,0.0303,2.8432,55.46
68,0.0677,2.6395,54.60
69,0.0160,3.0618,54.89
70,0.0031,3.8677,52.30
71,0.0036,4.5034,52.87
72,0.0314,3.1089,55.17
73,0.0238,3.0738,51.44
74,0.0572,2.8569,52.30
75,0.0328,3.2716,55.17
76,0.0127,3.6380,53.74
77,0.0263,3.4362,53.74
78,0.0416,2.7044,54.60
79,0.0104,3.2791,57.47
80,0.0039,3.6486,56.32
81,0.0339,2.9547,56.03
82,0.0255,2.7363,54.89
83,0.0099,3.3861,56.32
84,0.0078,3.3068,55.46
85,0.0122,3.5180,56.61
86,0.0216,3.1976,55.75
87,0.0034,3.6232,55.75
88,0.0012,4.0710,54.60
89,0.0004,4.4300,54.89
90,0.0078,4.3046,54.02
91,0.0612,3.0882,53.74
92,0.0205,4.2047,53.16
93,0.0104,4.1767,52.59
94,0.0217,4.5661,56.90
95,0.0325,3.6811,53.16
96,0.0370,3.2709,52.01
97,0.0330,3.4003,54.31
98,0.0196,3.5166,55.17
99,0.0081,4.6416,54.31
100,0.0219,3.5053,52.87
